date,tweet
2021-07-24 02:36:57,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-24 01:29:56,"b'#Movistar #estrenos de #cine #agosto 2021 con la pol\xc3\xa9mica \xe2\x80\x9cCiudad de mentiras\xe2\x80\x9d de Johnny Depp, \xe2\x80\x9cLl\xc3\xa9vame a casa\xe2\x80\x9d, \xe2\x80\x9cE\xe2\x80\xa6 https://t.co/5HQvCPeRmX'"

2021-07-24 01:29:33,"b'#Movistar #estrenos de #cine #agosto 2021 con la pol\xc3\xa9mica \xe2\x80\x9cCiudad de mentiras\xe2\x80\x9d de Johnny Depp, \xe2\x80\x9cLl\xc3\xa9vame a casa\xe2\x80\x9d, \xe2\x80\x9cE\xe2\x80\xa6 https://t.co/K9Pu7Mta6G'"

2021-07-23 23:48:22,b'Pude probar el internet de #Claro y de verdad me qued\xc3\xa9 sorprendido... Ahora que estoy en mi otra casa sigo con la w\xe2\x80\xa6 https://t.co/rL1xzH5B1u'

2021-07-23 23:32:41,"b'RT @TelecommTabasco: Recuerda que en m\xc3\xa1s de 1,700 #SucursalesTelecomm puedes hacer tus recargas de tiempo aire. #Telcel #Movistar #Unefon #\xe2\x80\xa6'"

2021-07-23 23:15:26,b'La SIC multa a Movistar por informaci\xc3\xb3n y publicidad enga\xc3\xb1osa via @elcolombiano m\xc3\xb3vil https://t.co/WS1phusiyB @sicsuper #Movistar'

2021-07-23 23:03:15,b'@MovistarChilee #MOVISTAR HACE D\xc3\x8dAS ME ROB\xc3\x93 DINERO A TRAV\xc3\x89S DE PUBLICIDAD ENGA\xc3\x91OSA EN LA WEB Y EL D\xc3\x8dA DE AYER ME HA\xe2\x80\xa6 https://t.co/wYN4jEiUxF'

2021-07-23 22:51:36,b'RT @luisrodolfoMx: Joven mexicano @luisrodolfoMx participa en la cumbre juvenil internacional One Young World #OYW2021.\nRecibir\xc3\xa1 la Beca In\xe2\x80\xa6'

2021-07-23 22:51:34,b'RT @Comfanorte: #Vacunaci\xc3\xb3n \xf0\x9f\x98\xb7 |\xf0\x9f\x92\x89 \xc2\xa1Empleados de @MovistarCo vacunados contra el COVID!\n\nCon el compromiso de seguir apoyando las jornadas de\xe2\x80\xa6'

2021-07-23 22:33:34,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 22:32:14,b'RT @PonleMas: \xc2\xa1Ponte Pilas!\nNo te quedes incomunicado!\xe2\x81\xa3\n\xe2\x81\xa3\nRealiza la #Recarga de tu #Operadora \xf0\x9f\x93\xb1 #Claro #Movistar #Tuenti y #CNT en los PDv\xe2\x80\xa6'

2021-07-23 22:07:48,b'#Vacunaci\xc3\xb3n \xf0\x9f\x98\xb7 |\xf0\x9f\x92\x89 \xc2\xa1Empleados de @MovistarCo vacunados contra el COVID!\n\nCon el compromiso de seguir apoyando las jor\xe2\x80\xa6 https://t.co/nu7ZsZjsV8'

2021-07-23 21:59:12,b'Viernes noche. Uno hace zapping por #movistar y ve esto y oye a @maltorres de @LateMotivCero  caguen. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Z0RsbMWh9e'

2021-07-23 21:32:53,b'RT @luisrodolfoMx: Joven mexicano @luisrodolfoMx participa en la cumbre juvenil internacional One Young World #OYW2021.\nRecibir\xc3\xa1 la Beca In\xe2\x80\xa6'

2021-07-23 21:28:16,"b'Publicidad de #movistar que dice ""personas humanas"" el idioma se fue al carajo!!! Queria regalarle uno a Xmen y no\xe2\x80\xa6 https://t.co/rSqVPMTCYB'"

2021-07-23 21:18:48,b'RT @bancamiga: Activa el servicio de recargas en tu Punto de Venta #Bancamiga y empieza a ganar m\xc3\xa1s.\n\nRecibe el 4% de comisi\xc3\xb3n por cada rec\xe2\x80\xa6'

2021-07-23 21:01:27,b'\xc2\xa1Ponte Pilas!\nNo te quedes incomunicado!\xe2\x81\xa3\n\xe2\x81\xa3\nRealiza la #Recarga de tu #Operadora \xf0\x9f\x93\xb1 #Claro #Movistar #Tuenti y #CNT\xe2\x80\xa6 https://t.co/4ep8pLb5Fs'

2021-07-23 20:52:29,b'@Movistar llamando a tu casa a las 22:50h!!!! #Flipa #SinVerguenza #Acojonante #DESCOSIDERADOS #movistar'

2021-07-23 20:45:12,b'Joven mexicano @luisrodolfoMx participa en la cumbre juvenil internacional One Young World #OYW2021.\nRecibir\xc3\xa1 la Be\xe2\x80\xa6 https://t.co/juVgoOiSPF'

2021-07-23 20:18:04,"b'@MovistarEC #Jennifer #Movistar, ya les escrib\xc3\xad por interno \xe2\x80\xa6 revisen \xe2\x9c\xa8'"

2021-07-23 20:07:13,"b'Ay\xc3\xbadame en este peque\xc3\xb1o proyecto, recargas telef\xc3\xb3nicas libres de comisiones, ""0"" comisiones, aqu\xc3\xad recibes lo que pa\xe2\x80\xa6 https://t.co/O1POhD8oWt'"

2021-07-23 19:45:00,b'Activa el servicio de recargas en tu Punto de Venta #Bancamiga y empieza a ganar m\xc3\xa1s.\n\nRecibe el 4% de comisi\xc3\xb3n por\xe2\x80\xa6 https://t.co/BllNzgfVO2'

2021-07-23 18:51:45,"b'RT @CabreraDeMar: Junto con El Jovencito Frankestein una comedia de los 70 absolutamente deliciosa, \xc2\xbfno es as\xc3\xad Benson Se\xc3\xb1ora?\xf0\x9f\x98\x85 #Movistar\nPo\xe2\x80\xa6'"

2021-07-23 18:18:09,b'Y es as\xc3\xad como #movistar nos roban... la velocidad en 4G y no puedo ni bajar un correo. Sin embargo estoy conectado\xe2\x80\xa6 https://t.co/WDFf5mgl9w'

2021-07-23 18:08:02,"b'Ayer cay\xc3\xb3 #Movistar , hoy d\xc3\xada caes t\xc3\xba mailof \xf0\x9f\x99\x88'"

2021-07-23 17:34:47,b'@MovistarCo el video que hice con un reclamo que ustedes desatendieron ya tiene m\xc3\xa1s de 1.000 reproducciones\xe2\x80\xa6 https://t.co/wCdIf9y763'

2021-07-23 17:16:32,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 17:16:08,b'Tal parece que @MovistarCo\nNO est\xc3\xa1 teniendo encuenta las quejas de sus clientes por el PESIMO servicio de se\xc3\xb1al. \nM\xe2\x80\xa6 https://t.co/iXpFlzO89C'

2021-07-23 17:13:48,"b'Junto con El Jovencito Frankestein una comedia de los 70 absolutamente deliciosa, \xc2\xbfno es as\xc3\xad Benson Se\xc3\xb1ora?\xf0\x9f\x98\x85\xe2\x80\xa6 https://t.co/qmfewLjW9u'"

2021-07-23 17:05:52,b'#Movistar \n@MovistarCo y a eso sumemosle la caida de la se\xc3\xb1al celular !! \xc2\xbf \xc2\xa1\xc2\xa1\xc2\xa1QU\xc3\x89 PASA MOVISTAR !!! ? Qu\xc3\xa9 hijueputa\xe2\x80\xa6 https://t.co/IN2juivlNc'

2021-07-23 17:02:25,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 16:35:56,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 16:29:35,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 16:28:53,b'Alguien tiene #Movistar o #Claro como internet del hogar ? Funciona bien?'

2021-07-23 16:22:48,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 16:18:16,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 16:17:43,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 16:15:20,"b'Marco de la mirilla para la puerta. R\xc3\xa9plica artesanal para tu entrada, como la que ten\xc3\xadan en la serie Monica y Rach\xe2\x80\xa6 https://t.co/s31xO5ELSU'"

2021-07-23 16:00:12,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 15:50:53,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 15:46:21,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 15:40:28,"b'Puro pendejo trespes\xc3\xadno, tragacuandohay usa #Movistar, no est\xc3\xa1 a discusi\xc3\xb3n, si tienen alg\xc3\xban inconveniente me vale verga.'"

2021-07-23 15:35:20,b'Acosadores #movistar !! Basta de volverme loco llamando todo el tiempo! P\xc3\xa9simo servicio y despu\xc3\xa9s de dado de baja s\xe2\x80\xa6 https://t.co/2XGaaS2TVg'

2021-07-23 15:15:56,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 15:11:13,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 15:08:48,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 15:01:41,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-23 15:01:09,"b'@Telefonia_MX Ok, ya tuve #altan y me gusto hasta cierto punto porque el Internet es bueno fluido y rara pero muy m\xe2\x80\xa6 https://t.co/X8WHcnhkva'"

2021-07-23 14:54:42,b'Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un\xe2\x80\xa6 https://t.co/0El5z7CK9v'

2021-07-23 14:41:32,b'@MovistarArg @FibraTelefonica hace 6 meses no resuelven problema en lineal fija a mi papa. Dejan incomunicado a una\xe2\x80\xa6 https://t.co/XSqSHE164s'

2021-07-23 14:34:00,b'Baila con TikTok a trav\xc3\xa9s de Movistar+. \n\nhttps://t.co/p3gdWQwiiK\n\n#MauroLibi #MauroLibiCrestani #GrupoLibi\xe2\x80\xa6 https://t.co/Rhdp7qncZo'

2021-07-23 12:03:10,"b'#Reportando una vez m\xc3\xa1s usuarios de #Movistar sufren ca\xc3\xadda del sistema, por ahora los que usan este servicio coment\xe2\x80\xa6 https://t.co/LrRQo8iUNp'"

2021-07-23 12:00:56,b'#movistar el servicio 4G en Bariloche es LAMENTABLE. Van a hacer algo al respecto o cambio de compa\xc3\xb1\xc3\xada directamente\xe2\x80\xa6 https://t.co/6ixarEskTo'

2021-07-23 11:55:25,"b'Movistar va al mismo ritmo de Movilnet, de mal a peor. #Movistar'"

2021-07-23 07:51:11,"b'Y este #ViernesDeCine vamos de reformas con \xe2\x80\x9cEsta casa es una ruina\xe2\x80\x9d, con #TomHanks y #ShelleyLong. \n.\nTrailer\xe2\x80\xa6 https://t.co/TnGrfZ54eS'"

2021-07-23 07:43:29,"b'Ofertas en nuestra tienda #Movistar \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n\n\xc2\xa1A qu\xc3\xa9 esperas, aprovecha\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc y ven a vernos!\n\n#Miramarcc #Fuengirola https://t.co/KsWtkjfz9U'"

2021-07-23 07:31:47,b'El 23 de julio del 2011 fallec\xc3\xada #AmyWinehouse. #Movistar+ la recuerda este viernes con los 2 docs Amy (La chica de\xe2\x80\xa6 https://t.co/ijwJyTosHT'

